"(PDH-CSV 4.0) (Malay Peninsula Standard Time)(-480)","\\PRAWN-E14\Memory\Available MBytes","\\PRAWN-E14\Memory\Pages Input/sec","\\PRAWN-E14\Memory\Pages Output/sec","\\PRAWN-E14\Memory\Page Reads/sec","\\PRAWN-E14\Processor(_Total)\% Processor Time"
"09/07/2026 22:40:29.478","1377"," "," "," "," "
"09/07/2026 22:40:31.485","1365","2791.2673250688699227","0","884.57409426838853506","100"
"09/07/2026 22:40:33.499","1227","17791.658311212060653","0","1534.7563747982283076","100"
"09/07/2026 22:40:35.533","1069","11738.867028625725652","0","937.16124757069837869","100"
"09/07/2026 22:40:37.604","1063","8520.0041572293466743","0","692.87155792169789947","100"
"09/07/2026 22:40:39.906","1032","5318.5040602116378068","0","571.6250788049288758","100"
"09/07/2026 22:40:41.932","1017","3728.6472521063942622","0","806.82083869692360167","100"
"09/07/2026 22:40:43.948","973","14896.927489482011879","0","1511.0739995658266253","100"
"09/07/2026 22:40:45.952","918","4562.1794376760890373","0","1051.6210229219459507","100"
"09/07/2026 22:40:47.975","913","3162.9348534802693393","0","647.22240475311434693","100"
"09/07/2026 22:40:50.129","873","1440.7226858078558962","0","429.80322392334875303","100"
"09/07/2026 22:40:52.169","869","1678.449308919085297","0","488.24051158978068088","100"
"09/07/2026 22:40:54.175","878","11421.361745607664488","0","1404.9850444876201436","100"
"09/07/2026 22:40:56.178","835","3215.6897706971594744","0","656.91520307939492795","100"
"09/07/2026 22:40:58.388","791","6158.5517519287568575","0","1074.3975499029149887","100"
"09/07/2026 22:41:00.402","707","7413.3434819683288879","0","1171.913096486385939","100"
